id,name,lname_prob,fname_prob,total_prob,link,total_receipts,total_disbursements
P60013794,"A WANDRLUSTR, DOT COM",0.8500000000000001,1,1,0.925,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P60013794&tabIndex=1,,
P60016268,"A$$, DAT PHAT",0.6499999999999999,0.8933333333333333,0.8933333333333333,0.7716666666666666,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P60016268&tabIndex=1,,
P60010535,"AAA, TRUEPROSNC",0.9166666666666666,0.8761904761904762,0.8761904761904762,0.8964285714285714,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P60010535&tabIndex=1,,
P60014446,"AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA, AAAAAA",0.7000000000000001,0.7777777777777777,0.7777777777777777,0.7388888888888889,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P60014446&tabIndex=1,,
P60016326,"ABABIY, JON",0.9444444444444445,1,1,0.9722222222222223,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P60016326&tabIndex=1,,
P60005840,"ABBOTT, GIFFORD WHEELER JR",1,0.9047619047619048,0.9047619047619048,0.9523809523809523,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P60005840&tabIndex=1,,
P60012838,"ABDULHAMID, AMMAR",0.9533333333333333,0.9666666666666667,0.9666666666666667,0.96,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P60012838&tabIndex=1,,
P60005741,"ABERNATHY, CHRISTOPHER SCOTT",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P60005741&tabIndex=1,,
P60014461,"ABLEIDINGER, PHILL ALEXANDER",0.9393939393939394,0.96,0.96,0.9496969696969697,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P60014461&tabIndex=1,,
H4LA05221,"ABRAHAM, RALPH LEE DR. JR.",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H4LA05221&tabIndex=1,$188,322.32,$97,553.54
H6CA24295,"ACHADJIAN, KHATCHIK",0.8842592592592592,0.8500000000000001,0.8500000000000001,0.8671296296296296,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6CA24295&tabIndex=1,$418,655.34,$161,571.22
H4NC12100,"ADAMS, ALMA SHEALEY",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H4NC12100&tabIndex=1,$300,683.94,$131,074.00
